tconst,startYear,genre,averageRating,numVotes
tt5263858,2016,Fantasy,8.2,10
tt5263878,2015,Sport,7.1,73
tt5263886,2015,Drama,6.1,28
tt5263888,2015,Comedy,5.9,28
tt5264060,2016,Family,6.2,224
tt5264176,2015,History,8.0,69
tt5264178,2016,Music,6.5,219
tt5264304,2016,Family,6.8,59
tt5264838,2023,Sci-Fi,5.4,4610
tt5264964,2015,Drama,6.7,16
tt5265168,2016,Drama,5.7,9
tt5265222,2016,Adventure,6.7,174
tt5265614,2019,Mystery,3.8,18
tt5265702,2015,Music,6.9,567
tt5265976,2017,Documentary,8.9,100
tt5266456,2017,Crime,3.3,887
tt5266668,2019,Action,2.9,1603
tt5243476,2016,Documentary,7.3,159
tt5249710,2017,Comedy,6.3,17
tt5252250,2015,Drama,8.5,876
tt5253610,2015,Documentary,5.9,74
tt5254154,2017,Comedy,3.6,252
tt5255524,2016,Drama,4.8,2939
tt5255560,2015,Documentary,8.8,15
tt5258194,2018,Comedy,6.9,120
tt5258850,2017,Comedy,7.4,11974
tt5263858,2016,Adventure,8.2,10
tt5264176,2015,Documentary,8.0,69
tt5265614,2019,Horror,3.8,18
tt5266456,2017,Drama,3.3,887
tt5266858,2016,Comedy,6.8,79
tt5267472,2018,Comedy,5.5,5032
tt5268508,2015,Biography,6.8,44
tt5269536,2014,Adult,4.4,11
tt5269754,2017,Thriller,6.8,26
tt5270314,2013,Documentary,8.9,10
tt5270378,2017,Horror,3.5,26
tt5271144,2016,Action,8.1,51
tt5271328,2018,Adventure,6.5,21
tt5272032,2022,Drama,7.4,14
tt5273340,2013,Documentary,7.4,7
tt5274424,2016,Drama,6.5,56
tt5275830,2016,Biography,7.5,1446
tt5275866,2016,Documentary,7.3,504
tt5277224,2015,Documentary,7.3,36
tt5277266,2015,Drama,4.9,570
tt5277850,2015,Thriller,5.7,236
tt5277952,2016,War,6.8,1778
tt5278300,2016,Comedy,3.7,184
tt5278462,2016,Biography,7.1,1302
tt5278464,2016,Drama,7.0,6415
tt5278578,2016,History,6.9,1748
tt5278596,2016,Documentary,7.6,10775
tt5278598,2016,Documentary,6.8,651
tt5278832,2015,Drama,6.2,10824
tt5278932,2016,Documentary,7.6,580
tt5278964,2016,Documentary,7.1,682
tt5279204,2016,Biography,7.4,156
tt5280052,2021,Drama,3.9,433
tt5280328,2015,Sport,7.0,32
tt5280580,2016,Documentary,7.2,39
tt5280652,2016,Drama,6.6,625
tt5280684,2017,Mystery,4.2,2611
tt5280984,2016,Romance,5.2,205
tt5281156,2015,Documentary,6.4,22
tt5281432,2016,Romance,6.2,17
tt5281700,2017,Music,5.4,951
tt5282006,2016,Action,6.3,3500
tt5282590,2018,Horror,4.6,363
tt5283288,2017,Comedy,4.2,1037
tt5283934,2020,Comedy,6.7,51
tt5284200,2015,Documentary,7.2,51
tt5284298,2015,Documentary,6.9,23
tt5284414,2015,Action,7.3,989
tt5284746,2015,Sci-Fi,5.0,38
